glyph_name,ps_name,sort_final
clarinetLH1stFingerQuarterClosedLeft,uniE0CD,131
clarinetLH2ndFingerQuarterClosedLeft,uniE0CE,132
clarinetLH3rdFingerQuarterClosedLeft,uniE0CF,133
clarinetRH1stFingerQuarterClosedLeft,uniE0D0,134
clarinetRH2ndFingerQuarterClosedLeft,uniE0D1,135
clarinetRH3rdFingerQuarterClosedLeft,uniE0D2,136
clarinetLH1stFingerQuarterClosedRight,uniE0D3,137
clarinetLH2ndFingerQuarterClosedRight,uniE0D4,138
clarinetLH3rdFingerQuarterClosedRight,uniE0D5,139
clarinetRH1stFingerQuarterClosedRight,uniE0D6,140
clarinetRH2ndFingerQuarterClosedRight,uniE0D7,141
clarinetRH3rdFingerQuarterClosedRight,uniE0D8,142
clarinetRegisterTrill,uniE0D9,143
clarinetLHThumbTrill,uniE0DA,144
clarinetLHATrill,uniE0DB,145
clarinetLHGSharpTrill,uniE0DC,146
clarinetLH1stFingerTrill,uniE0DD,147
clarinetLH2ndFingerTrill,uniE0DE,148
clarinetLHEFlatTrill,uniE0DF,149
clarinetLH3rdFingerTrill,uniE0E0,150
clarinetLHCSharpTrill,uniE0E1,151
clarinetLHFTrill,uniE0E2,152
clarinetLHGSharpAltTrill,uniE0E3,153
clarinetLHETrill,uniE0E4,154
clarinetRH1stSideTrill,uniE0E5,155
clarinetRH2ndSideTrill,uniE0E6,156
clarinetRH3rdSideTrill,uniE0E7,157
clarinetRH4thSideTrill,uniE0E8,158
clarinetRH1stFingerTrill,uniE0E9,159
clarinetRH2ndFingerTrill,uniE0EA,160
clarinetRHBTrill,uniE0EB,161
clarinetRH3rdFingerTrill,uniE0EC,162
clarinetRHFSharpTrill,uniE0ED,163
clarinetRHGSharpTrill,uniE0EE,164
clarinetRHETrill,uniE0EF,165
clarinetRHFTrill,uniE0F0,166
clarinetBassEFlatTrill,uniE0F1,167
oboeChart,uniE140,168
oboeLH3rdOctaveClosed,uniE141,169
oboeLH1stOctaveClosed,uniE142,170
oboeLH1stFingerClosed,uniE143,171
oboeLH2ndOctaveClosed,uniE144,172
oboeLHBTrillClosed,uniE145,173
oboeLHDTrillClosed,uniE146,174
oboeLH2ndFingerClosed,uniE147,175
oboeLHCSharpTrillClosed,uniE148,176
oboeLH3rdFingerClosed,uniE149,177
oboeLHGSharpClosed,uniE14A,178
oboeLHLowBClosed,uniE14B,179
oboeLHEFlatClosed,uniE14C,180
oboeLHFClosed,uniE14D,181
oboeLHLowBFlatClosed,uniE14E,182
oboeRHAClosed,uniE14F,183
oboeRHGSharpClosed,uniE150,184
oboeRH1stFingerClosed,uniE151,185
oboeRHDTrillClosed,uniE152,186
oboeRH2ndFingerClosed,uniE153,187
oboeRHFClosed,uniE154,188
oboeRH3rdFingerClosed,uniE155,189
oboeRHCBananaClosed,uniE156,190
oboeRHLowCClosed,uniE157,191
oboeRHLowCSharpClosed,uniE158,192
oboeRHLowEFlatKeyClosed,uniE159,193
oboeLH1stFingerRingOnly,uniE15A,194
oboeLH2ndFingerRingOnly,uniE15B,195
oboeLH3rdFingerRingOnly,uniE15C,196
oboeRH1stFingerRingOnly,uniE15D,197
oboeRH2ndFingerRingOnly,uniE15E,198
oboeRH3rdFingerRingOnly,uniE15F,199
oboeLH1stFingerHalfClosed,uniE160,200
oboeLH2ndFingerHalfClosedLeft,uniE161,201
oboeLH3rdFingerHalfClosedLeft,uniE162,202
oboeRH1stFingerHalfClosedLeft,uniE163,203
oboeRH2ndFingerHalfClosedLeft,uniE164,204
oboeRH3rdFingerHalfClosedLeft,uniE165,205
oboeLH2ndFingerHalfClosedRight,uniE166,206
oboeLH3rdFingerHalfClosedRight,uniE167,207
oboeRH1stFingerHalfClosedRight,uniE168,208
oboeRH2ndFingerHalfClosedRight,uniE169,209
oboeRH3rdFingerHalfClosedRight,uniE16A,210
oboeLH2ndFingerQuarterClosedLeft,uniE16B,211
oboeLH3rdFingerQuarterClosedLeft,uniE16C,212
oboeRH1stFingerQuarterClosedLeft,uniE16D,213
oboeRH2ndFingerQuarterClosedLeft,uniE16E,214
oboeRH3rdFingerQuarterClosedLeft,uniE16F,215
oboeLH2ndFingerQuarterClosedRight,uniE170,216
oboeLH3rdFingerQuarterClosedRight,uniE171,217
oboeRH1stFingerQuarterClosedRight,uniE172,218
oboeRH2ndFingerQuarterClosedRight,uniE173,219
oboeRH3rdFingerQuarterClosedRight,uniE174,220
oboeLH3rdOctaveTrill,uniE175,221
oboeLH1stOctaveTrill,uniE176,222
oboeLH1stFingerTrill,uniE177,223
oboeLH2ndOctaveTrill,uniE178,224
oboeLHBTrillTrill,uniE179,225
oboeLHDTrillTrill,uniE17A,226
